ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
39-3-44-1	39	3-440	kawádu	k a w á d u	1.0	False	0.266497461929
39-3-45-1	39	3-450	kawádu	k a w á d u	1.0	False	0.210526315789
39-3-52-1	39	3-520	cadakǎʔ	c a d a k ǎ ʔ	1.0	False	0.298901098901
39-3-54-1	39	3-540	cadakǎʔ	c a d a k ǎ ʔ	1.0	False	0.128361858191
39-3-55-1	39	3-550	cadakǎʔ	c a d a k ǎ ʔ	1.0	False	0.372122762148
39-3-57-1	39	3-570	pátu	p á t u	1.0	False	0.461538461538
39-3-58-1	39	3-580	hũtæ̃h cáʔ	h ũ t æ̃ h # c á ʔ	0.0	False	0.125
39-3-581-1	39	3-581	hũtæ̃´h	h ũ t æ̃´ h	0.0	True	0.158181818182
39-3-583-1	39	3-583	bohów’	b o h ó w’	0.0	False	0.203947368421
39-3-585-1	39	3-585	wǐh	w ǐ h	0.0	False	0.159793814433
39-3-586-1	39	3-586	wã´ʔ	w ã´ ʔ	0.0	False	0.110294117647
39-3-591-1	39	3-591	cɨʔb’ɨ́h	c ɨ ʔ b’ ɨ́ h	0.0	False	0.222826086957
39-3-592-1	39	3-592	yǎk	j ǎ k	0.0	False	0.5
39-3-594-1	39	3-594	wɔhwěw	w ɔ h + w ě w	0.0	False	0.262820512821
39-3-596-1	39	3-596	pǝpə́p	p ǝ p ə́ p	0.0	False	0.15350877193
39-3-596-2	39	3-596	cǔk	c ǔ k	0.0	False	0.15350877193
39-3-61-1	39	3-610	yaʔamhóʔ	j a ʔ a m + h ó ʔ	0.0	True	0.161616161616
39-3-62-1	39	3-620	picána	p i c á n a	1.0	False	0.344186046512
39-3-622-1	39	3-622	caʔmáy	c a ʔ m á j	0.0	False	0.476744186047
39-3-63-1	39	3-630	bǐʔ	b ǐ ʔ	0.75	False	0.177165354331
39-3-65-1	39	3-650	hɔ̃ˇp	h ɔ̃ˇ p	0.0	True	0.145161290323
39-3-652-1	39	3-652	cɨ̃cɨ́n	c ɨ̃ c ɨ́ n	0.0	False	0.0678391959799
39-3-653-1	39	3-653	péc	p é c	0.0	False	0.208333333333
39-3-654-1	39	3-654	cecěw	c e c ě w	0.0	False	0.194915254237
39-3-655-1	39	3-655	b’ɔ́k	b’ ɔ́ k	0.0	False	0.209375
39-3-664-1	39	3-664	j’æ̌ʔ	ɟ’ æ̌ ʔ	0.0	False	0.238636363636
39-3-665-1	39	3-665	cuʔbút	c u ʔ b ú t	0.0	False	0.171875
39-3-75-1	39	3-750	mɔ̃hɔ̌y	m ɔ̃ h ɔ̌ j	0.0	False	0.146706586826
39-3-76-1	39	3-760	tǔg	t ǔ g	0.0	False	0.333333333333
39-3-76-2	39	3-760	yawǎç	j a w ǎ ç	0.0	False	0.333333333333
39-3-811-1	39	3-811	næ̌m	n æ̌ m	0.0	True	0.0493421052632
39-3-812-1	39	3-812	næm típ	n æ m # t í p	0.0	False	0.0479452054795
39-3-813-1	39	3-813	n’ang’ɔ́b	n’ a n g’ ɔ́ b	0.0	False	0.0705882352941
39-3-814-1	39	3-814	cǎy	c ǎ j	0.0	False	0.141025641026
39-3-815-1	39	3-815	cə́ʔ	c ə́ ʔ	0.0	False	0.324324324324
39-3-816-1	39	3-816	dadáp	d a d á p	0.0	False	0.363095238095
39-3-817-1	39	3-817	yǔy	j ǔ j	0.0	True	0.12
39-3-817-2	39	3-817	hǔd	h ǔ d	0.0	True	0.12
39-3-817-3	39	3-817	bobób	b o b ó b	0.0	True	0.12
39-3-818-1	39	3-818	bɔyɔ́ʔ	b ɔ j ɔ́ ʔ	0.0	False	0.252747252747
39-3-819-1	39	3-819	bɔyɔʔ yág	b ɔ j ɔ ʔ # j á g	0.0	False	0.0833333333333
39-3-82-1	39	3-820	næŋʔã´w	n æ ŋ ʔ ã´ w	0.0	False	0.139830508475
39-3-821-1	39	3-821	næ̌ŋ cak	n æ̌ ŋ # c a k	0.0	False	0.100746268657
39-3-822-1	39	3-822	næ̌ŋ b’ak	n æ̌ ŋ # b’ a k	0.0	False	0.133757961783
39-3-823-1	39	3-823	yɔ̌ʔ	j ɔ̌ ʔ	0.0	False	0.15969581749
39-3-83-1	39	3-830	wowǒw	w o w ǒ w	0.0	False	0.0519230769231
39-3-83-2	39	3-830	bə́g	b ə́ g	0.0	False	0.0519230769231
39-3-831-1	39	3-831	húʔ	h ú ʔ	0.0	False	0.0833333333333
39-3-832-1	39	3-832	g’í	g’ í	0.0	False	0.215909090909
39-3-84-1	39	3-840	m’ɨ́ʔ	m’ ɨ́ ʔ	0.0	False	0.124309392265
39-3-85-1	39	3-850	m’æ̌h	m’ æ̌ h	0.0	False	0.154228855721
39-3-85-2	39	3-850	tɨ̃hɨ̃´y	t ɨ̃ h ɨ̃´ j	0.0	False	0.154228855721
39-3-91-1	39	3-910	kedó	k e d ó	1.0	False	0.0972222222222
39-3-91-2	39	3-910	huhǔy	h u h ǔ j	0.0	False	0.0972222222222
39-3-92-1	39	3-920	b’eb’ěp	b’ e b’ ě p	0.0	False	0.140449438202
39-3-93-1	39	3-930	cũ´c	c ũ´ c	0.0	False	0.105555555556
39-3-93-2	39	3-930	tə́t	t ə́ t	0.0	False	0.105555555556
39-3-94-1	39	3-940	g’ɔ̃´j	g’ ɔ̃´ ɟ	0.0	False	0.209044368601
39-3-95-1	39	3-950	j’ǎy	ɟ’ ǎ j	0.0	False	0.224598930481
39-3-95-2	39	3-950	yə́h	j ə́ h	0.0	False	0.224598930481
39-3-96-1	39	3-960	ʔɔ́w	ʔ ɔ́ w	0.0	False	0.232673267327
39-3-97-1	39	3-970	hǎt	h ǎ t	0.0	False	0.533333333333
39-3-98-1	39	3-980	mǐh	m ǐ h	0.0	False	0.244791666667
39-4-11-1	39	4-110	cáp	c á p	0.0	False	0.187835420394
39-4-12-1	39	4-120	b’ɔ́k	b’ ɔ́ k	0.0	True	0.110978520286
39-4-13-1	39	4-130	d’áp	d’ á p	0.0	False	0.14553314121
39-4-14-1	39	4-140	pã´t	p ã´ t	0.0	False	0.056421830119
39-4-142-1	39	4-142	nɔcúg	n ɔ c ú g	0.0	False	0.168539325843
39-4-144-1	39	4-144	pã´t	p ã´ t	0.0	False	0.123790552077
39-4-145-1	39	4-145	cán	c á n	0.0	False	0.173594709495
39-4-146-1	39	4-146	nuh pohów’	n u h # p o h ó w’	0.0	False	0.2625
39-4-15-1	39	4-150	biyǐw	b i j ǐ w	0.0	True	0.0957446808511
39-4-151-1	39	4-151	j’ɨ̃j’ɨ̃´p	ɟ’ ɨ̃ ɟ’ ɨ̃´ p	0.0	False	0.262697022767
39-4-16-1	39	4-160	g’æ̌g	g’ æ̌ g	0.0	True	0.0823529411765
39-4-162-1	39	4-162	hohóʔg’æg	h o h ó ʔ g’ æ g	0.0	False	0.112359550562
39-4-17-1	39	4-170	cǎn’	c ǎ n’	0.0	True	0.159782608696
39-4-18-1	39	4-180	d’ǔb	d’ ǔ b	0.0	True	0.117021276596
39-4-19-1	39	4-190	hupáh	h u p á h	0.0	True	0.0819209039548
39-4-19-2	39	4-190	cĩcĩʔ	c ĩ c ĩ ʔ	0.0	True	0.0819209039548
39-4-191-1	39	4-191	j’ujtǐh	ɟ’ u ɟ t ǐ h	0.0	False	0.135057471264
39-4-2-1	39	4-200	núh	n ú h	0.0	True	0.203531598513
39-4-201-1	39	4-201	y’aʔáw’ d’ǝhj’ák	j’ a ʔ á w’ # d’ ǝ h ɟ’ á k	0.0	False	0.18
39-4-202-1	39	4-202	nuh b’ɔ̌ʔ	n u h # b’ ɔ̌ ʔ	0.0	False	0.179347826087
39-4-203-1	39	4-203	cɔ̃wɔ̃ˇh	c ɔ̃ w ɔ̃ˇ h	0.0	False	0.132432432432
39-4-204-1	39	4-204	dɔwɔ̌h	d ɔ w ɔ̌ h	0.0	False	0.268847795164
39-4-204-2	39	4-204	mig’ǒd	m i g’ ǒ d	0.0	False	0.268847795164
39-4-205-1	39	4-205	kág’	k á g’	0.0	False	0.0657370517928
39-4-207-1	39	4-207	tǝg cáʔ	t ǝ g # c á ʔ	0.0	False	0.13125
39-4-208-1	39	4-208	dɔwɔh búg’	d ɔ w ɔ h # b ú g’	0.0	False	0.0714285714286
39-4-209-1	39	4-209	j’ǝj’ə́g	ɟ’ ǝ ɟ’ ə́ g	0.0	False	0.0602409638554
39-4-21-1	39	4-210	kǝwə̌g	k ǝ w ə̌ g	0.0	True	0.096018735363
39-4-212-1	39	4-212	kǝwǝg b’ɔk cũˇh	k ǝ w ǝ g # b’ ɔ k # c ũ ˇh	0.0	False	0.146484375
39-4-212-2	39	4-212	kǝwǝgpə̌w	k ǝ w ǝ g p ə̌ w	0.0	False	0.146484375
39-4-213-1	39	4-213	kǝwǝg b’ɔ́k	k ǝ w ǝ g # b’ ɔ́ k	0.0	False	0.0435684647303
39-4-214-1	39	4-214	kǝwǝg pã´t	k ǝ w ǝ g # p ã´ t	0.0	False	0.0739910313901
39-4-215-1	39	4-215	ʔɔ̃hwiŋ-	ʔ ɔ̃ h + w i ŋ	0.0	False	0.13829787234
39-4-22-1	39	4-220	bɔtɔ́k	b ɔ t ɔ́ k	0.0	True	0.10393258427
39-4-222-1	39	4-222	cæ̃cæ̃ˇy’	c æ̃ c æ̃ j’	0.0	False	0.0779220779221
39-4-23-1	39	4-230	tǒj	t ǒ ɟ	0.0	True	0.0267857142857
39-4-231-1	39	4-231	toj mɔ̌y	t o ɟ # m ɔ̌ j	0.0	False	0.0714285714286
39-4-232-1	39	4-232	tũhũ´ʔ	t ũ h ũ´ ʔ	0.0	False	0.0689655172414
39-4-24-1	39	4-240	nɔg’ǒd	n ɔ g’ ǒ d	0.0	True	0.07962529274
39-4-241-1	39	4-241	nɔg’ǒd	n ɔ g’ ǒ d	0.0	False	0.260180995475
39-4-25-1	39	4-250	nɔj’ǐj	n ɔ ɟ’ ǐ ɟ	0.0	False	0.0821052631579
39-4-26-1	39	4-260	nɔg’æ̌d	n ɔ g’ æ̌ d	0.0	True	0.0663716814159
39-4-27-1	39	4-270	tə́g	t ə́ g	0.0	True	0.117537313433
39-4-271-1	39	4-271	tǝg pə́w	t ǝ g # p ə́ w	0.0	False	0.136255924171
39-4-272-1	39	4-272	tǝgpáb	t ǝ g p á b	0.0	False	0.0949367088608
39-4-28-1	39	4-280	kaʔtɨ́t	k a ʔ t ɨ́ t	0.0	True	0.105
39-4-281-1	39	4-281	nuh totóy’	n u h # t o t ó j’	0.0	False	0.166666666667
39-4-29-1	39	4-290	ʔɔ̃´g’	ʔ ɔ̃´ g’	0.0	False	0.12969924812
39-4-3-1	39	4-300	cǎc	c ǎ c	0.0	False	0.133858267717
39-4-301-1	39	4-301	cǎc g’æg	c ǎ c # g’ æ g	0.0	False	0.233870967742
39-4-302-1	39	4-302	wǐh g’æg	w ǐ h # g’ æ g	0.0	False	0.1625
39-4-31-1	39	4-310	mumǔy	m u m ǔ j	0.0	False	0.0932835820896
39-4-312-1	39	4-312	hahád	h a h á d	0.0	False	0.146739130435
39-4-32-1	39	4-320	buyj’óg	b u j ɟ’ ó g	0.0	False	0.0852272727273
39-4-321-1	39	4-321	kinǐm	k i n ǐ m	0.0	False	0.132653061224
39-4-33-1	39	4-330	d’apũ´h	d’ a p ũ´ h	0.0	True	0.150735294118
39-4-331-1	39	4-331	n’apũh g’odhɔ́	n’ a p ũ h # g’ o dh ɔ́	0.0	False	0.10989010989
39-4-34-1	39	4-340	cǒb	c ǒ b	0.0	False	0.0506912442396
39-4-342-1	39	4-342	cob popǒg	c o b # p o p ǒ g	0.0	False	0.0795454545455
39-4-344-1	39	4-344	cob b’ɔ́k	c o b # b’ ɔ́ k	0.0	False	0.76
39-4-345-1	39	4-345	j’ib b’ɔ́k	ɟ’ i b # b’ ɔ́ k	0.0	True	0.116455696203
39-4-351-1	39	4-351	tɔ̌k	t ɔ̌ k	0.0	True	0.09375
39-4-352-1	39	4-352	cɨ̌ʔ	c ɨ̌ ʔ	0.0	False	0.0723684210526
39-4-36-1	39	4-360	wɔ̃ʔdǽ	w ɔ̃ ʔ d ǽ	0.0	True	0.0888888888889
39-4-37-1	39	4-370	j’ǐb	ɟ’ ǐ b	0.0	True	0.141416510319
39-4-371-1	39	4-371	j’ib kãkã´w	ɟ’ i b # k ã k ã´ w	0.0	False	0.112359550562
39-4-371-2	39	4-371	kabǎç	k a b ǎ ç	0.0	False	0.112359550562
39-4-372-1	39	4-372	j’ib cə̌k	ɟ’ i b # c ə̌ k	0.0	False	0.0569105691057
39-4-374-1	39	4-374	j’ǐb-cud	ɟ’ ǐ b c u d	0.0	False	0.126959247649
39-4-38-1	39	4-380	j’ib tæ̃tæ̃´h	ɟ’ i b # t æ̃ t æ̃´ h	0.0	False	0.0851063829787
39-4-38-2	39	4-380	j’ib popǒg	ɟ’ i b # p o p ǒ g	0.0	False	0.0851063829787
39-4-392-1	39	4-392	ké	k é	0.0	True	0.116379310345
39-4-393-1	39	4-393	hũtæ̃´h pã´t	h ũ t æ̃´ h # p ã´ t	0.0	True	0.109739368999
39-4-4-1	39	4-400	hɔ̃tə́g	h ɔ̃ t ə́ g	0.0	False	0.172043010753
39-4-41-1	39	4-410	pǔd	p ǔ d	0.0	True	0.053317535545
39-4-412-1	39	4-412	pud núh	p u d # n ú h	0.0	False	0.0622605363985
39-4-42-1	39	4-420	pǔd	p ǔ d	0.0	False	0.0455801104972
39-4-43-1	39	4-430	pǔç	p ǔ ç	0.0	True	0.122448979592
39-4-44-1	39	4-440	hã´wɨg	h ã´ w ɨ g	0.0	True	0.223300970874
39-4-441-1	39	4-441	hɔ wowǒw’	h ɔ # w o w ǒ w’	0.0	False	0.261904761905
39-4-45-1	39	4-450	hɔ́	h ɔ́	0.0	True	0.130555555556
39-4-451-1	39	4-451	kadawá	k a d a w á	0.25	False	0.167630057803
39-4-46-1	39	4-460	tǒk	t ǒ k	0.0	False	0.31768558952
39-4-461-1	39	4-461	tok tɨ́t	t o k # t ɨ́ t	0.0	False	0.165
39-4-462-1	39	4-462	tɔk tibd’ǎk	t ɔ k # t i b d’ ǎ k	0.0	False	0.159574468085
39-4-463-1	39	4-463	pãpáŋ	p ã p á ŋ	0.0	False	0.125
